id,question,bert_precision,bert_recall,bert_F1
43,Find the current directory and file's directory,0.7928,0.8092,0.8009
49,How to upgrade all Python packages with pip,0.7284,0.76,0.7439
84,How do I split the definition of a long string over multiple lines?,0.7209,0.7213,0.7211
77,How do I measure elapsed time in Python?,0.7588,0.7697,0.7642
5,How do I check whether a file exists without exceptions?,0.7644,0.758,0.7612
15,How can I iterate over rows in a Pandas DataFrame?,0.7507,0.7473,0.749
62,How to print without a newline or space,0.7995,0.7849,0.7922
64,Limiting floats to two decimal points,0.732,0.7324,0.7322
45,Renaming column names in Pandas,0.7726,0.7779,0.7752
31,How do I sort a dictionary by value?,0.7941,0.807,0.8005
10,How do I make a flat list out of a list of lists?,0.7692,0.7267,0.7474
82,Static methods in Python?,0.7826,0.784,0.7833
73,Determine the type of an object?,0.7767,0.7916,0.784
32,How do I clone a list so that it doesn't change unexpectedly after assignment?,0.7178,0.7077,0.7127
76,Why is reading lines from stdin much slower in C++ than Python?,0.7352,0.7355,0.7353
34,How do I print colored text to the terminal?,0.7242,0.7331,0.7286
8,"How do I create a directory, and any missing parent directories?",0.7945,0.7678,0.7809
83,Installing specific package version with pip,0.7263,0.7056,0.7158
28,What does ** (double star/asterisk) and * (star/asterisk) do for parameters?,0.7894,0.7809,0.7851
12,How slicing in Python works,0.7561,0.7756,0.7657
23,How do I select rows from a DataFrame based on column values?,0.7262,0.742,0.7341
11,What is the difference between @staticmethod and @classmethod in Python?,0.7681,0.7697,0.7689
46,"Why is ""1000000000000000 in range(1000000000000001)"" so fast in Python 3?",0.749,0.7464,0.7477
13,How can I find the index for a given item in a list?,0.7635,0.7514,0.7574
54,How do I install pip on Windows?,0.7665,0.7333,0.7495
3,Does Python have a ternary conditional operator?,0.7786,0.7622,0.7703
69,"What is the difference between venv, pyvenv, pyenv, virtualenv, virtualenvwrapper, pipenv, etc?",0.803,0.7878,0.7953
22,What is the difference between __str__ and __repr__?,0.7696,0.7203,0.7441
33,How do I pass a variable by reference?,0.7594,0.762,0.7607
35,Manually raising (throwing) an exception in Python,0.7898,0.7571,0.7731
2,"What does if __name__ == ""__main__"": do?",0.8028,0.7635,0.7827
1,"What does the ""yield"" keyword do in Python?",0.7947,0.7361,0.7643
6,How do I merge two dictionaries in a single expression in Python?,0.8342,0.752,0.791
4,What are metaclasses in Python?,0.8235,0.7796,0.8009
41,How do I make function decorators and chain them together,0.8432,0.7993,0.8206
